rho,tol,method,instance,cpuTime,rawMVP,outerIterations,proxResidual,relativeRecoveryError,relativeFunctionGap,success
0.1,0.0001,ASSN,6,0.699215,71,8,0.00274213230840821,0.217698561652855,7.70895062991803e-05,1
0.1,0.0001,ASSN,7,0.6830073,69,8,0.000485846731347262,0.235543397294845,4.23278686782793e-05,1
0.1,0.0001,ASSN,8,0.6313532,67,7,0.000325675551474469,0.22852623404832,6.07801949025471e-06,1
0.1,0.0001,ASSN,9,0.6409778,67,7,5.60158107916771e-05,0.233018410387154,1.74875548369386e-06,1
0.1,0.0001,ASSN,10,0.63015,69,8,0.000647878158576423,0.262622291183827,3.22355085371643e-05,1
0.1,1e-06,PSSgb-L-BFGS,1,0.5280376,36,15,0.000551575703125369,0.233145633659111,1.34669290360417e-07,1
0.1,1e-06,PSSgb-L-BFGS,2,0.4794507,34,14,0.00084011573288491,0.22930707771234,4.52326743529032e-07,1
0.1,1e-06,PSSgb-L-BFGS,3,0.4739038,34,14,0.000961104700470312,0.21986963166793,6.70199719241522e-07,1
0.1,1e-06,PSSgb-L-BFGS,4,0.590323,42,16,0.000782740742987818,0.229994978139626,4.08716714709145e-07,1
0.1,1e-06,PSSgb-L-BFGS,5,0.4492151,32,14,0.00124280476812358,0.241234769356457,5.74027907501338e-07,1
0.1,1e-06,PSSgb-L-BFGS,6,0.5042027,34,14,0.00110732056674261,0.231606802715345,9.1760212290456e-07,1
0.1,1e-06,PSSgb-L-BFGS,7,0.6133684,42,16,0.000659146284728675,0.216582280587709,3.23890146923228e-07,1
0.1,1e-06,PSSgb-L-BFGS,8,0.4696097,32,14,0.000804588755430307,0.272856240152201,4.22206261110713e-07,1
0.1,1e-06,PSSgb-L-BFGS,9,0.4857293,34,14,0.000780577900039951,0.236351796475315,4.20494887976297e-07,1
0.1,1e-06,PSSgb-L-BFGS,10,0.5148473,36,15,0.000416028257471441,0.216431792746997,1.08426286110557e-07,1
0.1,1e-06,PSSgb-CG,1,0.9522093,222,10,0.000138177243926255,0.233110612494065,9.62930769653642e-09,1
0.1,1e-06,PSSgb-CG,2,0.9260004,222,10,0.000232578640226998,0.22918069626827,2.57283617300935e-08,1
0.1,1e-06,PSSgb-CG,3,0.9362966,222,10,0.000185187385067943,0.219757543922026,1.57393581490885e-08,1
0.1,1e-06,PSSgb-CG,4,0.8964338,220,10,0.000396390753648932,0.229913797996259,8.67526441459486e-08,1
0.1,1e-06,PSSgb-CG,5,0.8664801,220,10,0.00021562227756472,0.241213110608977,1.84674890106845e-08,1
0.1,1e-06,PSSgb-CG,6,0.9263945,222,10,0.00044590159764481,0.231386798817088,1.0264985242301e-07,1
0.1,1e-06,PSSgb-CG,7,0.9537866,222,10,0.000348285777565577,0.216511183747049,5.87417734608428e-08,1
0.1,1e-06,PSSgb-CG,8,0.8707833,220,10,0.000536296464389606,0.272711510219256,1.35464773023743e-07,1
0.1,1e-06,PSSgb-CG,9,0.9316937,222,10,0.000496474018750572,0.236241980685362,1.21807754002269e-07,1
0.1,1e-06,PSSgb-CG,10,0.9605809,220,10,0.000280699883150165,0.216385134362651,4.16009374946112e-08,1
0.1,1e-06,FAST-2CDA-E,1,0.8449172,33,32,7.93645633875582e-10,0.233114699960594,3.88948578494171e-16,1
0.1,1e-06,FAST-2CDA-E,2,0.5673462,21,20,7.96763918629428e-10,0.229185349850655,-3.91473307368771e-16,1
0.1,1e-06,FAST-2CDA-E,3,0.6584887,26,25,8.01127752548332e-10,0.219764631028464,-2.02876273193509e-16,1
0.1,1e-06,FAST-2CDA-E,4,0.5029687,18,17,7.92546793541297e-10,0.229936146945344,4.04103756772432e-16,1
0.1,1e-06,FAST-2CDA-E,5,0.5342463,19,18,7.84052563812047e-10,0.2412299644323,0,1
0.1,1e-06,FAST-2CDA-E,6,1.0237456,45,44,8.37376660677268e-07,0.23141763992778,4.76163257614165e-13,1
0.1,1e-06,FAST-2CDA-E,7,0.5390341,19,18,8.07678433250467e-10,0.216543233670287,-2.03183033714888e-16,1
0.1,1e-06,FAST-2CDA-E,8,0.5304778,19,18,7.53456185561208e-10,0.272743904132406,-1.73218930123397e-16,1
0.1,1e-06,FAST-2CDA-E,9,0.4653272,15,14,7.85483635847598e-10,0.236264390540887,-1.92125491010097e-16,1
0.1,1e-06,FAST-2CDA-E,10,0.5503645,20,19,8.08955225624741e-10,0.216395378071618,4.19269402085682e-16,1
0.1,1e-06,SpaRSA,1,0.9035745,64,20,0.00106189294274371,0.233557115268206,7.76785628881012e-07,1
0.1,1e-06,SpaRSA,2,0.7822151,58,18,0.00108791243033237,0.229221071407324,7.11474776336183e-07,1
0.1,1e-06,SpaRSA,3,0.8536051,64,20,0.0008500860400918,0.220030974281372,5.0694678999717e-07,1
0.1,1e-06,SpaRSA,4,0.8648883,64,20,0.000740961336355496,0.23020358066699,3.79851855526771e-07,1
0.1,1e-06,SpaRSA,5,0.816749,61,19,0.00107097094757067,0.241612658428415,8.58164749947209e-07,1
0.1,1e-06,SpaRSA,6,1.0003703,70,22,0.000678508061249447,0.231732990072734,3.46465608632831e-07,1
0.1,1e-06,SpaRSA,7,0.903445,64,20,0.000687893368695308,0.21679359321773,3.40087625292981e-07,1
0.1,1e-06,SpaRSA,8,0.9089817,64,20,0.00120147772031524,0.273181564198296,8.002079861165e-07,1
0.1,1e-06,SpaRSA,9,0.884392,64,20,0.000817378295378687,0.236574184285108,4.50947562173401e-07,1
0.1,1e-06,SpaRSA,10,0.8887244,64,20,0.00103727471190083,0.216821095104037,8.33572931253428e-07,1
0.1,1e-06,TMAP-CG,1,0.9275549,292,8,0.000613484321908793,0.233085701967397,1.80746464881336e-07,1
0.1,1e-06,TMAP-CG,2,0.7747665,267,8,3.64291960924531e-06,0.229185294073237,6.79069172627239e-12,1
0.1,1e-06,TMAP-CG,3,0.716538,235,7,3.48492059155068e-05,0.219762585688776,5.67348772768751e-10,1
0.1,1e-06,TMAP-CG,4,0.7749246,233,7,7.45204812468834e-05,0.229934315951535,2.91210563169752e-09,1
0.1,1e-06,TMAP-CG,5,0.6962183,233,7,1.56662467759187e-08,0.241229961319028,5.50626046678878e-16,1
0.1,1e-06,TMAP-CG,6,0.7482947,233,7,5.55402312831779e-05,0.231417684273188,1.12118515576313e-09,1
0.1,1e-06,TMAP-CG,7,0.7046687,205,6,0.000984955628174656,0.216475010624685,5.08357741690689e-07,1
0.1,1e-06,TMAP-CG,8,0.6247841,205,6,0.00138803517458872,0.272654875863869,8.75147072771329e-07,1
0.1,1e-06,TMAP-CG,9,0.6671508,205,6,0.00134696284130722,0.236171004059447,8.84047379401787e-07,1
