rho,tol,method,meanTime,stdTime,meanRawMVP,stdRawMVP,meanOuterIterations,meanProxResidual,meanRelativeRecoveryError,meanRelativeFunctionGap,successRate
0.05,0.0001,TMAP-L-BFGS,0.29193179,0.0130978134944094,37,3.2659863237109,14.6,0.00735015075280321,0.180640035880029,5.95300524950757e-05,1
0.05,0.0001,ASSN,0.59034076,0.0190348958774376,61.6,2.11869981094276,8,0.00014758418271878,0.180781098217443,1.97283333281211e-05,1
0.05,1e-06,PSSgb-L-BFGS,0.42527205,0.0281264017104629,29.4,2.11869981094276,12.3,0.000466781853383647,0.183776528453692,2.77137215899711e-07,1
0.05,1e-06,PSSgb-CG,0.75926084,0.0264505562254138,171.4,11.6638091738696,8.6,0.000336995664430086,0.183679384752708,2.32275801382725e-07,1
0.05,1e-06,FAST-2CDA-E,0.35677635,0.0121937223942167,9.8,0.632455532033676,8.8,5.88625492771794e-10,0.183693332427542,1.34653007423877e-16,1
0.05,1e-06,SpaRSA,0.69147682,0.0402445871838631,49.6,3.09838667696593,15.2,0.000421449223989662,0.183605616155723,2.22452843851533e-07,1
0.05,1e-06,TMAP-CG,0.59190264,0.100366960290827,200.9,31.0034048309393,6.3,0.000107318039022919,0.183687246327182,3.37967603803643e-08,1
0.05,1e-06,TMAP-L-BFGS,0.34673394,0.0276369282612232,42.4,3.40587727318528,18.2,0.000821261672735277,0.183689120279238,7.09448424228051e-07,1
0.05,1e-06,ASSN,0.650707,0.0294328451731886,71.4,2.27058484879019,9,6.46261174903749e-07,0.183693202760466,4.88507422656043e-08,1
0.1,0.01,PSSgb-L-BFGS,0.33123646,0.0398970665725133,22.8,2.5298221281347,9.1,0.0897900932794993,0.231398848266225,0.00408293287073098,1
0.1,0.01,PSSgb-CG,0.82342217,0.0454752226097551,145,1.05409255338946,7,0.0732043390946034,0.21301284527266,0.00305904209603478,1
0.1,0.01,FAST-2CDA-E,0.39318604,0.0140855794265072,11.2,0.632455532033676,10.2,0.0077030268515497,0.238513873529291,4.16297726051436e-05,1
0.1,0.01,SpaRSA,0.47658489,0.00799088238493652,34,0,10,0.0850601191359513,0.241145871862223,0.00424551560674124,1
0.1,0.01,TMAP-CG,0.74700149,0.165201213166136,210.9,51.9368205932297,5.7,0.034933181678939,0.22790005836003,0.000695845654708855,1
0.1,0.01,TMAP-L-BFGS,0.2689681,0.023642926446238,27.8,3.35989417822777,11.5,0.117480225525863,0.261076348764839,0.00699286646552287,1
0.1,0.01,ASSN,0.58570366,0.067863808938838,59.8,6.67998669326685,6.3,0.0326628186637395,0.235579802569713,0.00269174038612442,1
0.1,0.0001,PSSgb-L-BFGS,0.42853743,0.0116414604685199,29.8,0.632455532033676,12.1,0.00906415153352518,0.233013116138765,3.96139331631588e-05,1
0.1,0.0001,PSSgb-CG,0.88635798,0.0430905286449818,185.4,10.6687497965892,8.7,0.00780061057815104,0.23245388486861,4.38647837895043e-05,1
0.1,0.0001,FAST-2CDA-E,2.09647293,4.84922441013811,118.9,309.943883809813,118,2.94417477490348e-05,0.233619190365939,4.32193956501342e-09,1
0.1,0.0001,SpaRSA,0.66320507,0.0418754595877413,48.1,3.47850542618522,14.7,0.00844748331050313,0.23646035937454,5.20043305605589e-05,1
0.1,0.0001,TMAP-CG,0.68892611,0.0308502624252642,205.8,3.79473319220206,6,0.00273672716542347,0.233300779108137,8.0553760206977e-06,1
0.1,0.0001,TMAP-L-BFGS,0.35511531,0.0259879896845725,38.8,4.54116969758037,17,0.0116458461224693,0.233793120678722,7.29526582773349e-05,1
0.1,0.0001,ASSN,0.66471056,0.0430605061021814,69.6,4.42718872423573,7.6,0.000653295652684222,0.233651346191723,2.49790899535109e-05,1
0.1,1e-06,PSSgb-L-BFGS,0.51086876,0.0533990903917993,35.6,3.62705880232945,14.6,0.000814600341200498,0.232738100321303,4.43256008036681e-07,1
0.1,1e-06,PSSgb-CG,0.92206592,0.0335067949914574,221.2,1.03279555898864,10,0.000327561404193558,0.2326412369121,6.16582251136827e-08,1
0.1,1e-06,FAST-2CDA-E,0.62169163,0.177080002119532,23.5,9.07070988279185,22.5,8.44500370819958e-08,0.232659533856034,4.76212702316107e-14,1
0.1,1e-06,SpaRSA,0.88069454,0.0587013003692649,63.7,2.98328677803526,19.9,0.000923435585463357,0.232972882693021,6.00450551415749e-07,1
0.1,1e-06,TMAP-CG,0.75095088,0.0924310809684924,240.4,34.0169892194409,7,0.000475008594425757,0.232630730243456,2.48111723543427e-07,1
0.1,1e-06,TMAP-L-BFGS,0.43370846,0.0270874432263036,48.1,4.25440947723653,22,0.00117397015132775,0.232682694017571,6.70785846210293e-07,1
0.1,1e-06,ASSN,0.74633309,0.0744752688227061,81.4,8.73307887670017,9,1.10000467407615e-05,0.232661471367731,2.78202112935568e-07,1
